Playlist A, Playlist B, Feature, Cosine Similarity
6,12,Instrumentalness,0.00
7,8,Instrumentalness,0.12
7,9,Instrumentalness,0.00
7,10,Instrumentalness,0.04
7,11,Instrumentalness,0.00
7,12,Instrumentalness,0.00
8,9,Instrumentalness,0.01
8,10,Instrumentalness,0.11
8,11,Instrumentalness,0.04
8,12,Instrumentalness,0.02
9,10,Instrumentalness,0.11
9,11,Instrumentalness,0.00
9,12,Instrumentalness,0.09
10,11,Instrumentalness,0.01
10,12,Instrumentalness,0.00
11,12,Instrumentalness,0.01
0,1,Liveness,0.49
0,2,Liveness,0.41
0,3,Liveness,0.58
0,4,Liveness,0.48
0,5,Liveness,0.48
0,6,Liveness,0.42
0,7,Liveness,0.40
0,8,Liveness,0.40
0,9,Liveness,0.59
0,10,Liveness,0.56
0,11,Liveness,0.46
0,12,Liveness,0.61
1,2,Liveness,0.60
1,3,Liveness,0.58
1,4,Liveness,0.62
1,5,Liveness,0.57
1,6,Liveness,0.57
1,7,Liveness,0.32
1,8,Liveness,0.43
1,9,Liveness,0.44
1,10,Liveness,0.41
1,11,Liveness,0.42
1,12,Liveness,0.52
2,3,Liveness,0.44
2,4,Liveness,0.62
2,5,Liveness,0.77
2,6,Liveness,0.65
2,7,Liveness,0.27
2,8,Liveness,0.60
2,9,Liveness,0.33
2,10,Liveness,0.23
2,11,Liveness,0.58
2,12,Liveness,0.40
3,4,Liveness,0.46
3,5,Liveness,0.49
3,6,Liveness,0.42
3,7,Liveness,0.30
3,8,Liveness,0.33
3,9,Liveness,0.41
3,10,Liveness,0.42
3,11,Liveness,0.40
3,12,Liveness,0.49
4,5,Liveness,0.62
4,6,Liveness,0.54
4,7,Liveness,0.30
4,8,Liveness,0.72
4,9,Liveness,0.44
4,10,Liveness,0.32
4,11,Liveness,0.60
4,12,Liveness,0.48
5,6,Liveness,0.70
5,7,Liveness,0.27
5,8,Liveness,0.66
5,9,Liveness,0.38
5,10,Liveness,0.30
5,11,Liveness,0.71
5,12,Liveness,0.43
6,7,Liveness,0.35
6,8,Liveness,0.46
6,9,Liveness,0.36
6,10,Liveness,0.27
6,11,Liveness,0.52
6,12,Liveness,0.41
7,8,Liveness,0.25
7,9,Liveness,0.40
7,10,Liveness,0.45
7,11,Liveness,0.28
7,12,Liveness,0.31
8,9,Liveness,0.35
8,10,Liveness,0.25
8,11,Liveness,0.77
