artists,occurrence,freqency
"Estelle,Kanye West",3,0.068182
"10cc",1,0.022727
"The Jackson 5",1,0.022727
"Black Sabbath",2,0.045455
"Fontaines D.C.",1,0.022727
"The Buggles",1,0.022727
"Gunter Kallmann Choir",1,0.022727
"Radiohead",10,0.227273
"Gabriella Cilmi",1,0.022727
"Rancore,DJ Myke",1,0.022727
"slowthai",1,0.022727
"Gorillaz,Bad Bunny",1,0.022727
"MGMT",10,0.227273
"Ruth Radelet",1,0.022727
"Shura",1,0.022727
"Pippo Sowlo",1,0.022727
"Sonic Youth",1,0.022727
"black midi",1,0.022727
"Frank Ocean",1,0.022727
"Chet Baker",1,0.022727
"Mike Oldfield",3,0.068182
"The Soft Moon",1,0.022727
"Coma_Cose",1,0.022727
"Yung Snapp,Lele Blade,Icy Subzero",1,0.022727
"Diaframma",1,0.022727
"Turnstile",1,0.022727
"Taeko Onuki",1,0.022727
"Bon Iver",1,0.022727
"Foo Fighters",2,0.045455
"The Ronettes",1,0.022727
"The Doors",1,0.022727
"The Bangles",2,0.045455
"Makka Pinkelton",1,0.022727
"Tonno",1,0.022727
"Frank Sinatra,Nancy Sinatra",1,0.022727
"X Ambassadors",1,0.022727
"MUNA,Phoebe Bridgers",2,0.045455
"The Fray",1,0.022727
"Alice In Chains",1,0.022727
"Bob Sinclar,Raffaella Carrà",1,0.022727
"Sarah Cothran",2,0.045455
"Ecco2k,Bladee",1,0.022727
