tracks,occurrence,freqency
"RADAR",1,0.100000
"RATHER LIE (with The Weeknd)",1,0.100000
"FINE SHIT",1,0.100000
"BACKD00R (feat. Kendrick Lamar & Jhené Aiko)",1,0.100000
"TOXIC (with Skepta)",1,0.100000
"MUNYUN",1,0.100000
"CRANK",1,0.100000
"CHARGE DEM HOES A FEE (with Future & Travis Scott)",1,0.100000
"GOOD CREDIT (with Kendrick Lamar)",1,0.100000
"WAKE UP F1LTHY (with Travis Scott)",1,0.100000
"JUMPIN (with Lil Uzi Vert)",1,0.100000
"TRIM (with Future)",1,0.100000
"WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign)",1,0.100000
"COCAINE NOSE",1,0.100000
"LIKE WEEZY",1,0.100000
"My Song",1,0.100000
"Like Him (feat. Lola Young)",2,0.200000
"Nights",1,0.100000
"White Ferrari",1,0.100000
"Dark Thoughts",1,0.100000
"The Weekend - Funk Wav Remix",1,0.100000
"Electric Feel",2,0.200000
"Watermelon Sugar",2,0.200000
"Pumped Up Kicks",2,0.200000
"Royals",1,0.100000
"Summer Of '69",1,0.100000
"Find an Island",1,0.100000
"She Looks So Perfect",1,0.100000
"Young Dumb & Broke",1,0.100000
"Mr. Brightside",2,0.200000
"Take Me Home, Country Roads",1,0.100000
"Honeypie",2,0.200000
"Wait a Minute!",2,0.200000
"Team",2,0.200000
"Good Grief",2,0.200000
"CITY OF ANGELS",2,0.200000
"Island In The Sun",1,0.100000
"Kiwi",2,0.200000
"Slide Away",1,0.100000
